Experiment GCC Calibration
Calibrating the satisfaction threshold to achieve ~5% pass rate of proposals.
Experiment started 2014-05-02 174937

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	50
                 setNumOfRepresentatives :,  	100
                 setUnaffiliatedFraction :,  	0.05
                        setGreenFraction :,  	0.5
Experiment Parameter Variations:
                       setIdeologyIssues :,  	[10, 7, 5]
                setSatisfactionThreshold :,  	[0.8, 0.7, 0.6]
######################################################
*********************Job Settings*********************
                       setIdeologyIssues :	,10
                setSatisfactionThreshold :	,0.8
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 1,                   10,                  0.8,4,28,0.8182
 1,                   10,                  0.8,4,19,0.8049
 1,                   10,                  0.8,3,17,0.8132
averages: ,                   10,                  0.8,3,21,0.8121
standard deviations: ,                   10,                  0.8,0,4,0.0055
*********************Job Settings*********************
                       setIdeologyIssues :	,10
                setSatisfactionThreshold :	,0.7
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 2,                   10,                  0.7,4,41,0.7501
 2,                   10,                  0.7,5,50,0.7633
 2,                   10,                  0.7,5,50,0.7802
averages: ,                   10,                  0.7,4,47,0.7645
standard deviations: ,                   10,                  0.7,0,4,0.0123
*********************Job Settings*********************
                       setIdeologyIssues :	,10
                setSatisfactionThreshold :	,0.6
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 3,                   10,                  0.6,7,41,0.6139
 3,                   10,                  0.6,5,49,0.6626
 3,                   10,                  0.6,4,44,0.7469
averages: ,                   10,                  0.6,5,44,0.6745
standard deviations: ,                   10,                  0.6,1,3,0.0549
*********************Job Settings*********************
                       setIdeologyIssues :	,7
                setSatisfactionThreshold :	,0.8
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 4,                    7,                  0.8,3,14,0.8033
 4,                    7,                  0.8,0,0,0.0000
 4,                    7,                  0.8,1,5,0.7993
averages: ,                    7,                  0.8,1,6,0.5342
standard deviations: ,                    7,                  0.8,1,5,0.3777
*********************Job Settings*********************
                       setIdeologyIssues :	,7
                setSatisfactionThreshold :	,0.7
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 5,                    7,                  0.7,5,40,0.7445
 5,                    7,                  0.7,3,32,0.7240
 5,                    7,                  0.7,4,28,0.7511
averages: ,                    7,                  0.7,4,33,0.7399
standard deviations: ,                    7,                  0.7,0,4,0.0115
*********************Job Settings*********************
                       setIdeologyIssues :	,7
                setSatisfactionThreshold :	,0.6
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 6,                    7,                  0.6,4,50,0.6452
 6,                    7,                  0.6,4,49,0.6990
 6,                    7,                  0.6,5,49,0.6873
averages: ,                    7,                  0.6,4,49,0.6772
standard deviations: ,                    7,                  0.6,0,0,0.0231
*********************Job Settings*********************
                       setIdeologyIssues :	,5
                setSatisfactionThreshold :	,0.8
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 7,                    5,                  0.8,1,1,0.5381
 7,                    5,                  0.8,0,0,0.0000
 7,                    5,                  0.8,1,5,0.8050
averages: ,                    5,                  0.8,0,2,0.4477
standard deviations: ,                    5,                  0.8,0,2,0.3348
*********************Job Settings*********************
                       setIdeologyIssues :	,5
                setSatisfactionThreshold :	,0.7
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 8,                    5,                  0.7,3,24,0.7260
 8,                    5,                  0.7,5,18,0.7400
 8,                    5,                  0.7,2,20,0.7044
averages: ,                    5,                  0.7,3,20,0.7235
standard deviations: ,                    5,                  0.7,1,2,0.0147
*********************Job Settings*********************
                       setIdeologyIssues :	,5
                setSatisfactionThreshold :	,0.6
 job ID, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 9,                    5,                  0.6,6,50,0.6308
 9,                    5,                  0.6,4,37,0.6100
 9,                    5,                  0.6,4,47,0.6309
averages: ,                    5,                  0.6,4,44,0.6239
standard deviations: ,                    5,                  0.6,0,5,0.0098
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 1,                   10,                  0.8,3,21,0.8121
 2,                   10,                  0.7,4,47,0.7645
 3,                   10,                  0.6,5,44,0.6745
 4,                    7,                  0.8,1,6,0.5342
 5,                    7,                  0.7,4,33,0.7399
 6,                    7,                  0.6,4,49,0.6772
 7,                    5,                  0.8,0,2,0.4477
 8,                    5,                  0.7,3,20,0.7235
 9,                    5,                  0.6,4,44,0.6239
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setIdeologyIssues, setSatisfactionThreshold, laws count, provisions, satisfaction
 1,                   10,                  0.8,0,4,0.0055
 2,                   10,                  0.7,0,4,0.0123
 3,                   10,                  0.6,1,3,0.0549
 4,                    7,                  0.8,1,5,0.3777
 5,                    7,                  0.7,0,4,0.0115
 6,                    7,                  0.6,0,0,0.0231
 7,                    5,                  0.8,0,2,0.3348
 8,                    5,                  0.7,1,2,0.0147
 9,                    5,                  0.6,0,5,0.0098
######################################################
Experiment Completed 2014-05-02 175310
######################################################

