Experiment GCC Calibration
Calibrating the satisfaction threshold to achieve ~5% pass rate of proposals.
Experiment started 2014-05-02 180439

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                 setUnaffiliatedFraction :,  	0.05
                        setGreenFraction :,  	0.5
                       setIdeologyIssues :,  	10
Experiment Parameter Variations:
                setSatisfactionThreshold :,  	[0.55, 0.575, 0.6, 0.625, 0.65, 0.675]
######################################################
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.55
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 1,                 0.55,12.00,5.00,75.00,0.6707
 1,                 0.55,12.00,10.00,75.00,0.6923
 1,                 0.55,17.00,9.00,75.00,0.6580
averages: ,                 0.55,13.67,8.00,75.00,0.6737
standard deviations: ,                 0.55,2.36,2.16,0.00,0.0142
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.575
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 2,                0.575,13.00,7.00,75.00,0.7087
 2,                0.575,200.00,7.00,70.00,0.6660
 2,                0.575,82.00,10.00,75.00,0.6903
averages: ,                0.575,98.33,8.00,73.33,0.6883
standard deviations: ,                0.575,77.21,1.41,2.36,0.0175
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.6
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 3,                  0.6,200.00,9.00,71.00,0.6926
 3,                  0.6,16.00,10.00,75.00,0.6686
 3,                  0.6,200.00,6.00,72.00,0.6722
averages: ,                  0.6,138.67,8.33,72.67,0.6778
standard deviations: ,                  0.6,86.74,1.70,1.70,0.0106
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.625
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 4,                0.625,200.00,6.00,71.00,0.7133
 4,                0.625,200.00,7.00,74.00,0.6923
 4,                0.625,18.00,7.00,75.00,0.7236
averages: ,                0.625,139.33,6.67,73.33,0.7097
standard deviations: ,                0.625,85.80,0.47,1.70,0.0130
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.65
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 5,                 0.65,200.00,10.00,55.00,0.6973
 5,                 0.65,97.00,7.00,75.00,0.7084
 5,                 0.65,200.00,4.00,58.00,0.7256
averages: ,                 0.65,165.67,7.00,62.67,0.7104
standard deviations: ,                 0.65,48.55,2.45,8.81,0.0116
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.675
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 6,                0.675,200.00,8.00,41.00,0.7803
 6,                0.675,200.00,7.00,59.00,0.7291
 6,                0.675,200.00,10.00,70.00,0.7357
averages: ,                0.675,200.00,8.33,56.67,0.7484
standard deviations: ,                0.675,0.00,1.25,11.95,0.0228
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 1,                 0.55,13.67,8.00,75.00,0.6737
 2,                0.575,98.33,8.00,73.33,0.6883
 3,                  0.6,138.67,8.33,72.67,0.6778
 4,                0.625,139.33,6.67,73.33,0.7097
 5,                 0.65,165.67,7.00,62.67,0.7104
 6,                0.675,200.00,8.33,56.67,0.7484
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 1,                 0.55,2.36,2.16,0.00,0.0142
 2,                0.575,77.21,1.41,2.36,0.0175
 3,                  0.6,86.74,1.70,1.70,0.0106
 4,                0.625,85.80,0.47,1.70,0.0130
 5,                 0.65,48.55,2.45,8.81,0.0116
 6,                0.675,0.00,1.25,11.95,0.0228
######################################################
Experiment Completed 2014-05-02 180809
######################################################

