Experiment GCC Experiment Variations
Main experiment variations for ideology, 30 runs..
Experiment started 2014-05-02 224008

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
Experiment Parameter Variations:
                 setUnaffiliatedFraction :,  	[0.05, 0.25, 0.5, 0.75]
                        setGreenFraction :,  	[0.5, 0.75, 0.9]
                       setIdeologyIssues :,  	[10, 7, 5]
######################################################
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                       setIdeologyIssues :	,10
 job ID, setUnaffiliatedFraction, setGreenFraction, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change
 1,                 0.05,                  0.5,                   10,200.00,7.00,56.00,0.7304,0.0446
 1,                 0.05,                  0.5,                   10,200.00,8.00,63.00,0.7332,0.0391
 1,                 0.05,                  0.5,                   10,64.00,9.00,75.00,0.7195,0.1181
 1,                 0.05,                  0.5,                   10,200.00,9.00,58.00,0.7324,0.1250
 1,                 0.05,                  0.5,                   10,200.00,7.00,73.00,0.6922,0.0089
 1,                 0.05,                  0.5,                   10,200.00,8.00,74.00,0.7381,0.0859
 1,                 0.05,                  0.5,                   10,200.00,10.00,66.00,0.7281,0.0625
 1,                 0.05,                  0.5,                   10,200.00,8.00,56.00,0.7237,0.0234
 1,                 0.05,                  0.5,                   10,200.00,7.00,72.00,0.7219,0.0357
 1,                 0.05,                  0.5,                   10,200.00,10.00,66.00,0.7116,0.0187
 1,                 0.05,                  0.5,                   10,200.00,6.00,62.00,0.7005,0.1354
 1,                 0.05,                  0.5,                   10,200.00,9.00,48.00,0.7624,0.0833
 1,                 0.05,                  0.5,                   10,200.00,10.00,51.00,0.7154,0.0125
 1,                 0.05,                  0.5,                   10,200.00,5.00,57.00,0.7220,0.0000
 1,                 0.05,                  0.5,                   10,200.00,7.00,74.00,0.7435,0.1786
averages: ,                 0.05,                  0.5,                   10,190.93,8.00,63.40,0.7250,0.0648
standard deviations: ,                 0.05,                  0.5,                   10,33.92,1.46,8.61,0.0165,0.0523
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                       setIdeologyIssues :	,7
 job ID, setUnaffiliatedFraction, setGreenFraction, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change
 2,                 0.05,                  0.5,                    7,200.00,4.00,42.00,0.6994,0.1250
 2,                 0.05,                  0.5,                    7,200.00,6.00,40.00,0.7390,0.0417
 2,                 0.05,                  0.5,                    7,200.00,3.00,46.00,0.7041,0.0417
 2,                 0.05,                  0.5,                    7,200.00,5.00,30.00,0.7238,0.0000
 2,                 0.05,                  0.5,                    7,200.00,6.00,42.00,0.7169,0.0000
 2,                 0.05,                  0.5,                    7,200.00,6.00,33.00,0.7487,0.0000
 2,                 0.05,                  0.5,                    7,200.00,8.00,44.00,0.7272,0.0000
 2,                 0.05,                  0.5,                    7,200.00,7.00,44.00,0.7385,0.2232
 2,                 0.05,                  0.5,                    7,200.00,5.00,41.00,0.6916,0.1000
 2,                 0.05,                  0.5,                    7,200.00,5.00,28.00,0.7405,0.0000
 2,                 0.05,                  0.5,                    7,200.00,6.00,48.00,0.7292,0.0104
 2,                 0.05,                  0.5,                    7,200.00,4.00,40.00,0.6915,0.0156
 2,                 0.05,                  0.5,                    7,200.00,7.00,43.00,0.7538,0.0268
 2,                 0.05,                  0.5,                    7,200.00,5.00,47.00,0.7262,0.1500
 2,                 0.05,                  0.5,                    7,200.00,7.00,38.00,0.7587,0.0625
averages: ,                 0.05,                  0.5,                    7,200.00,5.60,40.40,0.7259,0.0531
standard deviations: ,                 0.05,                  0.5,                    7,0.00,1.31,5.74,0.0209,0.0654
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                       setIdeologyIssues :	,5
 job ID, setUnaffiliatedFraction, setGreenFraction, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change
 3,                 0.05,                  0.5,                    5,200.00,3.00,29.00,0.7075,0.0000
 3,                 0.05,                  0.5,                    5,200.00,3.00,16.00,0.7283,0.0000
 3,                 0.05,                  0.5,                    5,200.00,3.00,20.00,0.7128,0.0000
 3,                 0.05,                  0.5,                    5,200.00,4.00,13.00,0.7266,0.0625
 3,                 0.05,                  0.5,                    5,200.00,3.00,20.00,0.7088,0.0000
 3,                 0.05,                  0.5,                    5,200.00,3.00,24.00,0.6885,0.0833
 3,                 0.05,                  0.5,                    5,200.00,4.00,11.00,0.8076,0.0000
 3,                 0.05,                  0.5,                    5,200.00,3.00,13.00,0.7166,0.0417
 3,                 0.05,                  0.5,                    5,200.00,4.00,22.00,0.6968,0.0469
 3,                 0.05,                  0.5,                    5,200.00,5.00,28.00,0.7240,0.0000
 3,                 0.05,                  0.5,                    5,200.00,3.00,11.00,0.7426,0.0000
 3,                 0.05,                  0.5,                    5,200.00,4.00,15.00,0.7601,0.1250
 3,                 0.05,                  0.5,                    5,200.00,5.00,37.00,0.6821,0.0000
