Experiment GCC Main Experiment - National Priorities -
Main experiment version 2 - with state priorities - 30 realizations per configuration .
Experiment started 2014-05-04 154654

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
Experiment Parameter Variations:
                 setUnaffiliatedFraction :,  	[0.05, 0.5]
                        setGreenFraction :,  	[0.5, 0.75, 1.0]
                      setStatePriorities :,  	[0, 5]
                       setIdeologyIssues :,  	[0, 5]
######################################################
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 154654, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154710, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154726, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154742, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154758, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154814, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154830, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154846, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154902, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154918, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154935, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 154951, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155007, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155023, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155039, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155055, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155111, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155127, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155143, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155159, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155215, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155231, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155247, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155303, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155319, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155335, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155351, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155407, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155423, 1,                 0.05,                  0.5,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 155439, 1,                 0.05,                  0.5,                    0,                    0,200.00,1.00,1.00,0.6106,0.0000,52.0000
averages: ,                 0.05,                  0.5,                    0,                    0,200.00,0.03,0.03,0.0204,0.0000,1.7333
standard deviations: ,                 0.05,                  0.5,                    0,                    0,0.00,0.18,0.18,0.1096,0.0000,9.3343
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                      setStatePriorities :	,0
                       setIdeologyIssues :	,5
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 155455, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,15.00,0.7860,0.0125,263.0000
 2014-05-04 155511, 2,                 0.05,                  0.5,                    0,                    5,200.00,7.00,26.00,0.7344,0.0179,372.0000
 2014-05-04 155527, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,27.00,0.7110,0.0000,193.0000
 2014-05-04 155542, 2,                 0.05,                  0.5,                    0,                    5,200.00,6.00,24.00,0.7009,0.0104,314.0000
 2014-05-04 155558, 2,                 0.05,                  0.5,                    0,                    5,200.00,2.00,8.00,0.5784,0.0000,102.0000
 2014-05-04 155615, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,16.00,0.7232,0.0625,225.0000
 2014-05-04 155630, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,25.00,0.6926,0.1667,158.0000
 2014-05-04 155646, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,20.00,0.7305,0.0312,232.0000
 2014-05-04 155702, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,25.00,0.7021,0.0156,214.0000
 2014-05-04 155717, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,19.00,0.7449,0.1250,231.0000
 2014-05-04 155733, 2,                 0.05,                  0.5,                    0,                    5,200.00,2.00,7.00,0.7476,0.0000,106.0000
 2014-05-04 155750, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,12.00,0.7097,0.0000,170.0000
 2014-05-04 155805, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,25.00,0.7149,0.0000,235.0000
 2014-05-04 155821, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,30.00,0.6944,0.0500,262.0000
 2014-05-04 155837, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,18.00,0.7034,0.0000,222.0000
