Experiment GCC Main Experiment - National Priorities - No Parties
Main experiment version 3 - with state priorities but no parties - 30 realizations per configuration .
Experiment started 2014-05-03 175733

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
                 setUnaffiliatedFraction :,  	1.0
Experiment Parameter Variations:
                      setStatePriorities :,  	[0, 5]
                       setIdeologyIssues :,  	[0, 5]
######################################################
*********************Job Settings*********************
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-03 175733, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175749, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175805, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175821, 1,                    0,                    0,200.00,1.00,1.00,0.6075,0.0000,51.0000
 2014-05-03 175837, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175853, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175909, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175925, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175941, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 175958, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180014, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180030, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180046, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180102, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180119, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180135, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180151, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180207, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180223, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180239, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180255, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180311, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180327, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180343, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180359, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180415, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180431, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180447, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180504, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180520, 1,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
averages: ,                    0,                    0,200.00,0.03,0.03,0.0203,0.0000,1.7000
standard deviations: ,                    0,                    0,0.00,0.18,0.18,0.1090,0.0000,9.1548
*********************Job Settings*********************
                      setStatePriorities :	,0
                       setIdeologyIssues :	,5
 timestamp, job ID, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-03 180536, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180552, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180609, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180625, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180641, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180657, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180714, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180730, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180746, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180803, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180819, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180835, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180851, 2,                    0,                    5,200.00,1.00,1.00,0.6231,0.0000,52.0000
 2014-05-03 180907, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180923, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 180940, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
