Timestamp: 2014-05-01 235921Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5
main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
3,-0.5450,37,-0.4899,-0.5887,1,-0.6972,-0.8188,11,-0.5737,35
16,-0.5394,47,-0.5306,-0.5950,0,-0.6209,-0.7171,12,-0.6221,47
46,-0.5550,37,-0.5473,-0.8201,4,-0.3824,-0.5251,32,-0.5564,27
41,-0.5169,38,-0.4901,-0.5569,1,-0.3156,-0.4776,34,-0.5284,5
34,-0.5244,37,-0.4730,-0.6066,1,-0.7025,-0.8244,21,-0.5642,25
47,-0.5363,48,-0.5586,-0.9339,2,-0.9771,-0.9835,9,-0.5526,48
36,-0.5281,47,-1.0000,-1.0000,35,-0.0893,-0.5814,35,-0.4603,7
32,-0.5312,39,-1.0000,-1.0000,23,-0.9511,-0.9511,1,-0.5312,49
32,-0.5312,37,-1.0000,-1.0000,23,-0.9511,-0.9511,1,-0.5312,49
35,-0.5062,38,-0.5526,-0.6582,1,-0.5263,-0.8916,23,-0.5825,50
15,-0.5513,48,-1.0000,-1.0000,5,-0.8875,-0.8875,1,-0.5513,52
43,-0.5219,47,-1.0000,-1.0000,16,-1.0000,-1.0000,1,-0.5219,48
49,-0.5594,38,-0.5296,-0.8915,3,-0.4178,-0.5302,22,-0.5758,47
38,-0.5938,38,-0.5789,-0.6454,3,-0.3449,-0.5474,17,-0.5946,28
32,-0.5312,47,-1.0000,-1.0000,23,-0.1114,-0.6561,25,-0.5208,26
36,-0.5281,47,-1.0000,-1.0000,35,-0.0893,-0.6263,31,-0.5167,13
1,-0.5069,48,-0.5299,-0.8113,4,-0.6398,-0.6566,21,-0.5266,47
7,-0.5144,6,-0.5521,-0.7467,3,-0.6587,-0.7385,11,-0.6023,49
28,-0.5444,48,-0.5560,-0.9688,4,-0.5382,-0.6784,14,-0.6127,45
43,-0.5219,36,-1.0000,-1.0000,16,-1.0000,-1.0000,1,-0.5219,48
13,-0.5494,47,-0.6250,-0.6288,3,-0.5427,-0.6725,15,-0.6009,35
43,-0.5406,48,-1.0000,-1.0000,16,-0.0625,-0.4626,25,-0.5241,8
4,-0.5312,33,-0.4659,-0.5937,2,-0.5992,-0.8524,24,-0.5855,48
37,-0.5294,38,-0.5395,-0.8943,5,-0.6112,-0.6521,12,-0.6259,52
44,-0.5737,48,-0.5664,-0.9101,2,-0.5964,-0.6613,11,-0.5889,42
14,-0.5450,38,-0.5789,-0.8328,1,-0.3981,-0.6738,20,-0.5975,35
8,-0.4844,37,-0.4713,-0.6836,1,-0.6146,-0.7132,16,-0.4620,33
10,-0.5350,36,-0.5764,-0.7899,4,-0.3322,-0.4950,26,-0.5316,12
5,-0.5406,47,-0.5239,-0.6371,1,-0.4865,-0.6822,19,-0.5059,4
31,-0.5281,4,-0.6875,-0.7493,1,-0.3804,-0.6335,14,-0.5291,14
16,-0.5231,33,-0.5985,-0.6162,0,-0.5725,-0.6863,10,-0.5361,18
6,-0.5494,35,-0.5946,-0.6088,2,-0.8378,-0.9189,4,-0.5572,28
31,-0.5356,47,-0.5372,-0.6001,1,-0.4796,-0.7477,25,-0.5306,26
6,-0.5231,47,-0.5173,-0.7450,2,-0.6065,-0.6763,27,-0.5115,2
7,-0.5494,48,-0.5729,-0.7660,3,-0.7064,-0.7293,13,-0.5799,41
30,-0.5569,47,-0.6077,-0.6272,4,-0.5548,-0.6286,20,-0.5974,27
10,-0.5350,36,-0.5503,-0.9284,4,-0.3788,-0.5071,28,-0.5611,26
3,-0.5375,37,-0.5338,-0.8508,1,-0.9073,-0.9304,7,-0.4664,39
10,-0.5575,41,-0.5976,-0.9066,4,-0.2445,-0.5633,24,-0.6015,23
24,-0.5175,38,-0.4901,-0.5863,1,-0.3897,-0.7342,22,-0.5216,12
39,-0.5188,39,-1.0000,-1.0000,18,-0.9479,-0.9479,1,-0.5188,47
5,-0.5219,39,-0.5417,-0.6126,1,-0.4493,-0.7731,25,-0.5649,33
20,-0.5469,35,-0.6018,-0.6129,2,-0.6057,-0.7883,12,-0.5418,16
9,-0.6012,47,-0.6223,-0.6223,3,-0.4583,-0.6393,11,-0.5473,49
18,-0.5619,37,-0.5676,-0.9157,2,-0.8698,-0.9145,10,-0.5266,49
3,-0.5200,38,-0.5806,-0.6591,1,-0.4810,-0.7559,17,-0.4644,12
23,-0.5000,47,-0.5319,-0.5701,0,-0.6017,-0.6846,7,-0.5470,25
31,-0.5469,38,-0.5477,-0.8703,1,-0.2445,-0.5147,25,-0.5099,7
12,-0.5300,47,-1.0000,-1.0000,32,-1.0000,-1.0000,1,-0.5300,50
16,-0.5831,35,-0.6089,-0.6089,0,-0.7625,-0.7625,1,-0.5831,44
20,-0.5519,38,-0.5312,-0.9676,2,-0.3971,-0.6961,12,-0.6254,49
10,-0.5125,35,-0.5857,-0.6251,4,-0.6474,-0.6639,6,-0.5286,26
18,-0.4981,40,-0.5109,-0.8315,2,-0.6743,-0.7108,18,-0.5068,41
35,-0.5463,47,-0.5585,-0.6241,1,-0.3809,-0.9312,16,-0.5901,37
5,-0.5319,36,-0.5764,-0.8318,1,-0.4620,-0.9069,9,-0.5204,49
0,-0.5669,38,-0.5576,-0.9718,0,-0.5462,-0.6149,7,-0.5702,48
14,-0.5450,48,-0.5781,-0.7702,1,-0.4142,-0.5921,27,-0.5648,35
9,-0.4587,38,-0.4605,-0.7453,3,-0.5594,-0.6563,28,-0.5918,23
0,-0.5181,41,-0.5518,-0.9312,0,-0.6608,-0.7435,5,-0.6646,49
43,-0.5219,35,-1.0000,-1.0000,16,-1.0000,-1.0000,1,-0.5219,48
20,-0.5156,40,-0.5641,-0.6785,2,-0.2554,-0.5424,21,-0.5228,9
13,-0.5506,47,-0.6263,-0.6298,3,-0.5422,-0.6716,6,-0.6598,57
7,-0.5519,38,-0.6365,-0.8664,3,-0.5933,-0.6646,7,-0.4673,27
16,-0.5394,48,-0.5534,-0.8051,0,-0.2021,-0.5618,22,-0.5454,11
20,-0.5519,37,-0.5405,-0.8133,2,-0.1409,-0.4841,24,-0.5170,6
2,-0.5613,33,-0.5208,-0.5964,1,-0.5819,-0.7367,17,-0.4743,27
0,-0.5456,47,-0.5691,-0.5691,0,-0.4875,-0.6608,5,-0.5577,28
31,-0.5356,48,-0.5378,-0.7296,1,-0.4762,-0.5745,19,-0.5138,6
14,-0.5250,48,-0.5156,-0.6700,1,-0.4639,-0.7626,23,-0.5612,9
7,-0.5644,36,-0.4983,-0.5840,3,-0.6484,-0.6702,13,-0.5480,20
28,-0.5469,48,-0.5560,-0.6220,4,-0.4123,-0.5394,25,-0.5096,9
6,-0.5431,38,-0.5954,-0.8412,2,-0.3166,-0.5689,23,-0.4832,6
2,-0.5613,42,-0.5298,-0.5719,1,-0.8034,-0.8700,12,-0.4674,26
39,-0.5437,40,-1.0000,-1.0000,18,-0.1146,-0.3605,24,-0.4630,7
28,-0.5181,48,-0.5065,-0.7137,4,-0.3556,-0.5089,13,-0.4995,15
18,-0.5506,34,-0.5551,-0.6082,2,-0.6641,-0.7808,20,-0.4770,11
18,-0.5144,47,-0.5146,-0.6277,2,-0.6982,-0.7730,8,-0.5475,26
18,-0.5144,39,-0.5449,-0.6033,2,-0.7341,-0.7714,8,-0.4779,31
23,-0.5500,38,-0.5280,-0.5852,0,-0.5323,-0.6810,11,-0.5243,13
47,-0.5363,38,-0.5543,-0.6445,2,-0.6554,-0.8338,9,-0.4519,23
41,-0.5181,42,-0.4554,-0.7673,1,-0.2407,-0.4047,24,-0.4822,11
20,-0.5106,48,-0.5560,-0.5932,2,-0.5124,-0.6006,12,-0.5518,22
48,-0.5406,48,-0.5521,-0.6703,0,-0.2403,-0.4618,23,-0.5071,5
24,-0.5450,41,-0.5442,-0.7759,1,-0.4251,-0.6856,13,-0.4495,22
31,-0.5156,35,-0.5143,-0.6500,1,-0.5814,-0.6926,23,-0.5783,22
10,-0.5375,47,-0.5040,-0.5515,4,-0.4851,-0.5545,19,-0.5387,10
24,-0.5400,36,-0.5625,-0.6009,1,-0.2991,-0.6781,14,-0.4934,5
35,-0.5038,38,-0.5230,-0.7575,1,-0.4151,-0.7011,15,-0.4585,22
24,-0.5500,48,-0.5690,-0.6978,1,-0.5431,-0.8422,9,-0.5072,16
8,-0.5794,48,-0.6029,-0.7712,1,-0.5015,-0.9378,8,-0.4555,25
0,-0.5456,33,-0.6174,-0.6270,0,-0.4618,-0.6712,14,-0.5552,16
16,-0.5444,48,-0.5430,-0.6273,0,-0.5718,-0.6322,9,-0.5281,16
25,-0.5400,34,-0.5423,-0.6426,2,-0.6215,-0.7580,13,-0.5350,15
26,-0.5406,48,-1.0000,-1.0000,35,-0.0625,-0.4941,19,-0.5219,5
14,-0.5250,38,-0.5214,-0.7031,1,-0.7097,-0.8364,8,-0.5183,21
3,-0.5225,47,-0.5798,-0.6054,1,-0.6326,-0.8519,8,-0.5439,21
48,-0.5031,5,-0.6000,-0.8975,0,-0.5578,-0.5873,4,-0.5139,47
12,-0.5300,47,-1.0000,-1.0000,32,-1.0000,-1.0000,1,-0.5300,50
25,-0.5250,48,-0.4922,-0.6492,2,-0.4820,-0.6096,24,-0.5530,5
6,-0.5194,48,-0.5260,-0.7084,2,-0.6451,-0.7354,12,-0.4862,21
38,-0.5687,6,-0.6979,-0.8170,3,-0.5327,-0.6132,9,-0.5165,24
17,-0.5537,40,-0.5938,-0.7410,1,-0.1694,-0.6627,14,-0.5525,19
