Timestamp: 2014-05-02 165153
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
38,-0.5531,7,-0.7321,-0.7494,3,-0.5014,-0.5620,20,-0.5530,31
36,-0.5544,8,-0.5156,-0.6923,9,-0.7002,-0.7032,7,-0.5656,40
3,-0.5169,11,-0.5966,-0.6615,1,-0.1665,-0.5772,21,-0.5599,32
37,-0.5231,10,-0.6813,-0.7447,2,-0.6189,-0.7234,8,-0.5242,32
13,-0.4994,14,-0.4821,-0.6372,4,-0.5936,-0.6440,22,-0.5398,25
9,-0.5269,15,-0.5042,-0.6357,7,-0.5310,-0.5790,27,-0.5430,16
4,-0.5619,13,-0.6683,-0.6811,2,-0.5864,-0.6878,9,-0.5557,30
17,-0.5094,7,-0.8036,-0.8884,5,-0.5849,-0.6617,17,-0.5377,23
1,-0.5363,12,-0.4844,-0.6279,4,-0.6017,-0.6732,22,-0.5607,32
1,-0.5363,15,-0.5000,-0.6942,4,-0.5912,-0.6514,13,-0.5143,23
41,-0.5062,9,-0.7153,-0.7287,4,-0.5106,-0.6721,9,-0.5079,32
41,-0.5437,8,-0.7500,-0.7798,4,-0.6641,-0.7244,5,-0.5641,42
16,-0.4906,6,-0.5312,-0.6081,4,-0.5155,-0.6287,10,-0.5871,40
25,-0.4825,11,-0.5227,-0.6027,5,-0.5659,-0.6163,22,-0.5558,25
5,-0.5075,9,-0.3819,-0.7329,18,-0.6613,-0.7161,12,-0.5914,39
33,-0.5394,8,-0.4297,-0.6276,2,-0.5940,-0.6459,18,-0.5662,35
42,-0.5050,9,-0.4028,-0.6246,6,-0.5181,-0.5966,36,-0.5669,27
44,-0.5194,6,-0.5938,-0.7439,4,-0.6821,-0.7295,7,-0.5238,40
19,-0.5231,8,-0.5469,-0.6628,3,-0.5198,-0.7049,19,-0.5797,39
30,-0.5475,10,-0.6687,-0.7289,6,-0.6197,-0.6751,7,-0.5468,36
42,-0.5575,13,-0.5192,-0.6771,6,-0.6375,-0.6710,11,-0.5819,39
40,-0.5394,22,-0.6250,-0.6457,1,-0.7837,-0.8116,6,-0.5423,28
21,-0.5094,8,-0.6875,-0.7137,3,-0.7128,-0.7417,8,-0.5134,29
17,-0.5094,14,-0.5000,-0.6799,5,-0.6376,-0.7062,14,-0.6006,55
3,-0.5356,16,-0.6289,-0.6527,1,-0.4898,-0.7874,25,-0.5685,32
14,-0.5188,7,-0.3214,-0.5663,11,-0.4585,-0.5715,15,-0.5006,11
9,-0.5256,11,-0.5000,-0.6382,7,-0.4797,-0.5926,23,-0.5666,32
8,-0.5375,6,-0.6771,-0.7464,7,-0.5911,-0.6120,10,-0.5304,14
47,-0.5269,14,-0.5357,-0.6054,6,-0.5539,-0.6021,17,-0.5777,30
13,-0.5544,10,-0.6438,-0.6901,4,-0.6971,-0.7601,6,-0.5508,35
